sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-1921-G1-K-G4-2302-P4-1	IGHV1-18	15	3.25	IGKV3-20	9	0.09	0.06	0	0
M-2345-G1-K-G4-2302-P4-1	IGHV1-18	15	2.95	IGKV3-15	9	0.07	0.07	0	0
M-1825-G2-L-G4-2302-P4-1	IGHV4-38-2	15	1.8000000000000003	IGLV2-11	11	0.14	0.11	0	0
M-1555-M-K-G4-2302-P4-1	IGHV3-74	15	2.85	IGKV1-33	9	0.0	0.0	0	0
M-2699-M-K-G4-2302-P4-1	IGHV4-34	15	3.65	IGKV1-NL1	9	0.26	0.26	0	0
M-4185-M-L-G4-2302-P4-1	IGHV3-66	15	2.5	IGLV3-25	11	0.0	0.0	0	0
M-1153-G1-K-G4-2302-P4-1	IGHV3-66	15	2.4000000000000004	IGKV1-13	10	0.0	0.0	0	0
M-4070-G2-K-G4-2302-P4-1	IGHV3-66	15	2.5	IGKV3-15	9	0.09	0.07	0	0
M-4020-M-K-G4-2302-P4-1	IGHV3-66	15	4.050000000000001	IGKV1-9	10	0.01	0.0	0	0
M-223-G1-L-G4-2302-P4-1	IGHV3-53	15	2.25	IGLV3-21	11	0.14	0.1	0	0
M-3181-G1-K-G4-2302-P4-1	IGHV4-34	21	3.25	IGKV3-20	9	0.13	0.09	0	0
M-4913-M-K-G4-2302-P4-1	IGHV3-53	15	2.75	IGKV3-15	9	0.11	0.09	0	0
M-933-M-K-G4-2302-P4-1	IGHV4-39	15	1.2500000000000002	IGKV3-11	10	0.05	0.02	0	0
M-3335-M-K-G4-2302-P4-1	IGHV1-8	15	5.2	IGKV1-27	9	0.03	0.04	0	0
M-2542-G2-K-G4-2302-P4-1	IGHV1-8	15	1.8	IGKV3-20	8	0.04	0.05	0	0
M-3795-M-K-G4-2302-P4-1	IGHV1-8	15	0.30000000000000004	IGKV4-1	9	0.16	0.15	0	0
M-1686-G1-L-G4-2302-P4-1	IGHV1-8	15	1.8	IGLV3-25	10	0.15	0.11	0	0
M-1505-G2-L-G4-2302-P4-1	IGHV4-34	21	1.8500000000000003	IGLV3-19	11	0.13	0.11	0	0
M-1476-M-K-G4-2302-P4-1	IGHV1-8	15	2.8000000000000003	IGKV4-1	8	0.03	0.02	0	0
M-529-M-K-G4-2302-P4-1	IGHV1-8	15	2.5500000000000003	IGKV3-20	9	0.07	0.09	0	0
M-2073-M-K-G4-2302-P4-1	IGHV1-8	15	2.6	IGKV4-1	9	0.12	0.11	0	0
M-4462-M-K-G4-2302-P4-1	IGHV1-8	15	1.1	IGKV1-5	9	0.04	0.04	0	0
M-1880-M-L-G4-2302-P4-1	IGHV3-64	15	1.55	IGLV1-44	12	0.0	0.0	0	0
M-4248-G1-L-G4-2302-P4-1	IGHV3-64	15	2.55	IGLV1-40	12	0.13	0.09	0	0
M-3182-M-K-G4-2302-P4-1	IGHV3-64D	15	3.8	IGKV3-20	9	0.09	0.06	0	0
M-3734-G3-L-G4-2302-P4-1	IGHV4-61	15	3.25	IGLV3-9	9	0.19	0.15	0	0
M-822-M-K-G4-2302-P4-1	IGHV3-64	15	4.449999999999999	IGKV3-20	9	0.01	0.01	0	0
M-3595-G1-L-G4-2302-P4-1	IGHV1-24	15	3.6	IGLV2-14	9	0.03	0.02	0	0
M-2483-G2-K-G4-2302-P4-1	IGHV1-24	15	2.6	IGKV2-30	9	0.16	0.17	0	0
M-722-G1-K-G4-2302-P4-1	IGHV1-24	15	3.45	IGKV2-28	10	0.2	0.16	0	0
M-41-G1-L-G4-2302-P4-1	IGHV1-24	15	3.7	IGLV1-51	11	0.06	0.05	0	0
M-1-G1-K-G4-2302-P4-1	IGHV1-24	15	3.0	IGKV3-15	10	0.13	0.11	0	0
M-3359-M-L-G4-2302-P4-1	IGHV1-24	15	0.8	IGLV2-14	11	0.09	0.07	0	0
M-606-M-L-G4-2302-P4-1	IGHV1-24	15	1.05	IGLV2-14	19	0.1	0.1	0	0
M-3131-M-L-G4-2302-P4-1	IGHV3-74	15	3.05	IGLV1-51	13	0.18	0.16	0	0
M-2518-G3-K-G4-2302-P4-1	IGHV3-74	15	1.8	IGKV4-1	9	0.26	0.21	0	0
M-4158-G3-K-G4-2302-P4-1	IGHV3-74	15	1.8	IGKV4-1	9	0.26	0.21	0	0
M-3484-M-L-G4-2302-P4-1	IGHV3-74	15	2.2	IGLV1-40	11	0.07	0.07	0	0
M-452-M-K-G4-2302-P4-1	IGHV3-74	15	1.9500000000000002	IGKV1-5	8	0.18	0.13	0	0
M-4566-G3-L-G4-2302-P4-1	IGHV3-21	21	4.3	IGLV2-14	11	0.11	0.09	0	0
M-3656-G3-K-G4-2302-P4-1	IGHV3-74	15	2.7	IGKV2-28	9	0.18	0.13	0	0
M-119-A1-L-G4-2302-P4-1	IGHV3-74	15	1.7500000000000002	IGLV2-14	10	0.13	0.1	0	0
M-1817-G1-K-G4-2302-P4-1	IGHV1-69	15	3.6	IGKV1-39	11	0.03	0.04	0	0
M-332-M-K-G4-2302-P4-1	IGHV3-48	15	4.199999999999999	IGKV3-20	9	0.0	0.0	0	0
M-3356-M-K-G4-2302-P4-1	IGHV3-43	15	2.6500000000000004	IGKV1-12	10	0.11	0.07	0	0
M-4811-M-K-G4-2302-P4-1	IGHV4-4	15	4.45	IGKV3-20	10	0.01	0.01	0	0
M-1763-G3-L-G4-2302-P4-1	IGHV3-48	21	1.35	IGLV3-25	12	0.19	0.13	0	0
M-2496-A1-L-G4-2302-P4-1	IGHV4-4	15	2.05	IGLV2-14	10	0.17	0.13	0	0
M-2526-M-K-G4-2302-P4-1	IGHV4-4	15	3.3000000000000003	IGKV1-9	7	0.03	0.01	0	0
M-2684-M-K-G4-2302-P4-1	IGHV4-4	15	2.2	IGKV1-8	10	0.0	0.0	0	0
M-2757-M-L-G4-2302-P4-1	IGHV4-4	15	2.8000000000000003	IGLV1-44	12	0.12	0.09	0	0
M-1175-G2-L-G4-2302-P4-1	IGHV4-4	15	3.6	IGLV1-40	11	0.05	0.05	0	0
M-526-G1-L-G4-2302-P4-1	IGHV4-4	15	2.8000000000000003	IGLV3-21	11	0.05	0.05	0	0
M-2918-M-L-G4-2302-P4-1	IGHV4-4	15	2.1	IGLV1-51	13	0.06	0.05	0	0
M-4470-M-K-G4-2302-P4-1	IGHV4-4	15	4.199999999999999	IGKV1-39	9	0.13	0.12	0	0
