sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-7846-M-K-G7-1200-P5-1	IGHV3-21	14	1.65	IGKV1-5	9	0.0	0.0	0	0
M-2052-M-L-G7-1200-P5-1	IGHV3-21	14	1.65	IGLV3-21	11	0.0	0.0	0	0
M-3556-G3-K-G7-1200-P5-1	IGHV3-21	14	1.2000000000000002	IGKV1-17	9	0.15	0.15	0	0
M-3411-M-K-G7-1200-P5-1	IGHV4-38-2	15	2.5000000000000004	IGKV3-20	10	0.06	0.07	0	0
M-3211-M-K-G7-1200-P5-1	IGHV4-38-2	15	3.8000000000000003	IGKV1-33	11	0.0	0.0	0	0
M-7531-M-K-G7-1200-P5-1	IGHV4-38-2	15	3.2500000000000004	IGKV1-8	10	0.0	0.0	0	0
M-7847-M-K-G7-1200-P5-1	IGHV3-48	15	3.8000000000000003	IGKV3-11	10	0.0	0.0	0	0
M-3760-M-K-G7-1200-P5-1	IGHV1-24	14	1.05	IGKV1-5	9	0.0	0.0	0	0
M-7938-G1-L-G7-1200-P5-1	IGHV1-24	14	3.25	IGLV3-9	7	0.12	0.09	0	0
M-2521-G4-K-G7-1200-P5-1	IGHV1-24	14	2.05	IGKV4-1	9	0.11	0.1	0	0
M-2143-M-L-G7-1200-P5-1	IGHV1-24	14	4.75	IGLV2-18	10	0.0	0.0	0	0
M-6950-M-K-G7-1200-P5-1	IGHV1-24	14	2.95	IGKV3-15	8	0.0	0.0	0	0
M-4148-M-K-G7-1200-P5-1	IGHV2-70	14	2.85	IGKV4-1	9	0.07	0.05	0	0
M-6705-M-K-G7-1200-P5-1	IGHV2-70	14	1.45	IGKV3-15	10	0.0	0.0	0	0
M-1901-M-L-G7-1200-P5-1	IGHV2-70	14	2.8	IGLV3-1	9	0.0	0.0	0	0
M-6273-M-K-G7-1200-P5-1	IGHV2-70	14	1.55	IGKV1-33	8	0.0	0.0	0	0
M-6598-M-L-G7-1200-P5-1	IGHV2-70	14	2.6500000000000004	IGLV1-44	11	0.0	0.0	0	0
M-5540-M-L-G7-1200-P5-1	IGHV2-70	14	3.7	IGLV2-23	10	0.02	0.01	0	0
M-5179-M-L-G7-1200-P5-1	IGHV2-70	14	3.7	IGLV1-40	11	0.03	0.04	0	0
M-7968-M-L-G7-1200-P5-1	IGHV2-70	14	2.1000000000000005	IGLV3-21	11	0.0	0.0	0	0
M-6466-M-K-G7-1200-P5-1	IGHV2-70	14	1.35	IGKV1-5	9	0.0	0.0	0	0
M-1724-M-K-G7-1200-P5-1	IGHV2-70	14	2.1	IGKV3-11	8	0.05	0.02	0	0
M-2595-M-L-G7-1200-P5-1	IGHV2-5	14	2.95	IGLV3-9	9	0.01	0.01	0	0
M-4154-M-K-G7-1200-P5-1	IGHV2-5	14	3.75	IGKV3-11	9	0.0	0.0	0	0
M-5992-M-K-G7-1200-P5-1	IGHV2-5	14	2.4	IGKV4-1	9	0.06	0.04	0	0
M-1998-M-K-G7-1200-P5-1	IGHV2-5	14	2.4	IGKV4-1	9	0.02	0.0	0	0
M-8156-M-L-G7-1200-P5-1	IGHV2-5	14	3.0500000000000003	IGLV3-25	11	0.0	0.0	0	0
M-312-M-L-G7-1200-P5-1	IGHV2-5	14	2.1	IGLV3-25	11	0.0	0.0	0	0
M-4782-M-L-G7-1200-P5-1	IGHV2-5	14	4.6	IGLV2-11	10	0.0	0.0	0	0
M-7883-M-K-G7-1200-P5-1	IGHV2-5	14	3.7	IGKV3-20	9	0.12	0.09	0	0
M-2283-D-L-G7-1200-P5-1	IGHV2-5	14	4.0	IGLV3-25	11	0.0	0.0	0	0
M-7334-M-L-G7-1200-P5-1	IGHV2-5	14	2.5	IGLV1-51	12	0.01	0.01	0	0
M-3843-M-L-G7-1200-P5-1	IGHV2-5	14	3.0	IGLV3-19	11	0.0	0.0	0	0
M-7766-M-L-G7-1200-P5-1	IGHV4-31	14	2.85	IGLV3-1	9	0.0	0.0	0	0
M-1790-M-K-G7-1200-P5-1	IGHV4-31	14	2.3	IGKV4-1	9	0.0	0.0	0	0
M-5959-M-K-G7-1200-P5-1	IGHV1-3	19	4.15	IGKV3-20	9	0.0	0.0	0	0
M-4342-D-L-G7-1200-P5-1	IGHV4-31	14	2.5	IGLV2-23	11	0.0	0.0	0	0
M-4728-G1-K-G7-1200-P5-1	IGHV4-31	14	1.35	IGKV1-39	10	0.07	0.06	0	0
M-5341-M-K-G7-1200-P5-1	IGHV4-31	14	2.6500000000000004	IGKV1-39	10	0.0	0.0	0	0
M-1343-M-K-G7-1200-P5-1	IGHV4-31	14	2.4000000000000004	IGKV3-15	9	0.0	0.0	0	0
M-2350-M-K-G7-1200-P5-1	IGHV4-31	14	3.2	IGKV1-39	9	0.0	0.0	0	0
M-7936-G1-K-G7-1200-P5-1	IGHV4-31	14	2.7	IGKV1-5	9	0.08	0.02	0	0
M-1158-G1-L-G7-1200-P5-1	IGHV4-31	14	1.7500000000000002	IGLV6-57	11	0.1	0.09	0	0
M-1458-D-L-G7-1200-P5-1	IGHV4-31	14	3.3000000000000003	IGLV1-44	12	0.0	0.0	0	0
M-2507-M-K-G7-1200-P5-1	IGHV4-31	14	1.9000000000000001	IGKV3-15	9	0.0	0.0	0	0
M-6767-M-K-G7-1200-P5-1	IGHV4-31	14	1.9000000000000001	IGKV1-33	9	0.0	0.0	0	0
M-5300-A2-K-G7-1200-P5-1	IGHV3-73	19	2.3000000000000003	IGKV1D-16	9	0.18	0.15	0	0
M-4390-G1-K-G7-1200-P5-1	IGHV4-31	14	3.9	IGKV1-39	10	0.17	0.13	0	0
M-6029-G1-K-G7-1200-P5-1	IGHV4-31	14	2.25	IGKV1-39	9	0.18	0.16	0	0
M-4232-M-K-G7-1200-P5-1	IGHV4-31	14	1.8	IGKV1-33	9	0.0	0.0	0	0
M-801-M-L-G7-1200-P5-1	IGHV4-31	14	2.3	IGLV3-1	9	0.0	0.0	0	0
M-1957-M-K-G7-1200-P5-1	IGHV3-64	14	2.4000000000000004	IGKV2D-29	9	0.05	0.04	0	0
