sequence_id	vh.gene	HCDR3.length	hcdr3.hydrophobicity	vl.gene	LCDR3.length	mut.freq	fwrs.mut.freq	VH1.lcdr3_5	VH1-69.VK3-20.GW
M-4907-G1-K-T2m-2202-D2-1	IGHV4-59	16	2.6	IGKV3-20	8	0.11	0.07	0	0
M-5252-G2-K-T2m-2202-D2-1	IGHV4-59	16	1.6000000000000005	IGKV3-20	9	0.08	0.07	0	0
M-4531-G1-K-T2m-2202-D2-1	IGHV4-59	16	1.55	IGKV1-33	9	0.06	0.05	0	0
M-5218-G3-K-T2m-2202-D2-1	IGHV4-39	18	2.8	IGKV1-39	9	0.04	0.02	0	0
M-3886-G1-K-T2m-2202-D2-1	IGHV4-39	18	3.7	IGKV1-17	9	0.08	0.05	0	0
M-1783-G1-K-T2m-2202-D2-1	IGHV4-39	18	2.75	IGKV3-15	8	0.09	0.09	0	0
M-4236-G1-L-T2m-2202-D2-1	IGHV4-39	18	2.25	IGLV2-14	10	0.18	0.16	0	0
M-4439-G1-L-T2m-2202-D2-1	IGHV4-39	18	2.6	IGLV1-44	11	0.16	0.13	0	0
M-53-G1-K-T2m-2202-D2-1	IGHV4-39	18	2.6	IGKV1-5	9	0.11	0.07	0	0
M-3583-G3-K-T2m-2202-D2-1	IGHV4-39	18	4.050000000000001	IGKV1-5	9	0.09	0.06	0	0
M-1978-G1-L-T2m-2202-D2-1	IGHV3-7	14	3.2	IGLV3-1	9	0.15	0.12	0	0
M-1566-G1-K-T2m-2202-D2-1	IGHV4-39	18	4.65	IGKV3-20	9	0.06	0.07	0	0
M-904-G2-L-T2m-2202-D2-1	IGHV4-39	18	2.6500000000000004	IGLV3-21	11	0.11	0.09	0	0
M-5747-G2-K-T2m-2202-D2-1	IGHV4-39	18	0.7	IGKV1-16	9	0.12	0.1	0	0
M-1461-G1-K-T2m-2202-D2-1	IGHV4-39	18	2.7	IGKV4-1	9	0.12	0.12	0	0
M-4122-G3-L-T2m-2202-D2-1	IGHV4-39	18	2.8	IGLV1-51	11	0.12	0.1	0	0
M-6235-G1-K-T2m-2202-D2-1	IGHV4-39	18	4.3	IGKV4-1	9	0.07	0.05	0	0
M-3730-G3-K-T2m-2202-D2-1	IGHV4-39	18	4.6499999999999995	IGKV1D-12	9	0.05	0.04	0	0
M-1267-G1-L-T2m-2202-D2-1	IGHV5-10-1	14	3.4	IGLV3-25	11	0.12	0.12	0	0
M-6369-G1-L-T2m-2202-D2-1	IGHV3-15	16	3.6	IGLV1-47	11	0.07	0.04	0	0
M-4340-G1-L-T2m-2202-D2-1	IGHV3-9	16	1.75	IGLV1-44	11	0.05	0.04	0	0
M-2507-G2-K-T2m-2202-D2-1	IGHV3-9	16	1.35	IGKV1-39	9	0.05	0.06	0	0
M-5736-G2-L-T2m-2202-D2-1	IGHV4-34	16	1.0	IGLV1-40	12	0.12	0.13	0	0
M-738-G1-L-T2m-2202-D2-1	IGHV1-69	18	4.4	IGLV1-44	10	0.1	0.06	0	0
M-6237-G1-L-T2m-2202-D2-1	IGHV1-69	18	4.2	IGLV1-51	11	0.13	0.1	0	0
M-5598-G1-K-T2m-2202-D2-1	IGHV1-69	18	3.5000000000000004	IGKV3-20	9	0.15	0.12	0	0
M-1556-G3-L-T2m-2202-D2-1	IGHV1-69	18	4.0	IGLV2-14	10	0.14	0.13	0	0
M-264-G3-L-T2m-2202-D2-1	IGHV1-3	14	1.4	IGLV3-25	10	0.14	0.12	0	0
M-3377-G3-K-T2m-2202-D2-1	IGHV1-69	18	2.95	IGKV3-11	10	0.05	0.05	0	0
M-136-G1-L-T2m-2202-D2-1	IGHV1-69	18	2.5	IGLV3-1	9	0.08	0.06	0	0
M-786-G3-L-T2m-2202-D2-1	IGHV1-69	18	2.6500000000000004	IGLV3-1	9	0.11	0.07	0	0
M-5659-G3-L-T2m-2202-D2-1	IGHV1-69	18	2.6500000000000004	IGLV3-1	9	0.11	0.07	0	0
M-185-G1-K-T2m-2202-D2-1	IGHV1-69	18	3.95	IGKV2D-29	9	0.09	0.07	0	0
M-4459-G1-K-T2m-2202-D2-1	IGHV1-69	18	0.95	IGKV3-11	9	0.11	0.07	0	0
M-4499-G1-L-T2m-2202-D2-1	IGHV1-69	18	3.95	IGLV1-40	12	0.1	0.09	0	0
M-420-G3-K-T2m-2202-D2-1	IGHV1-69	18	3.0500000000000003	IGKV1-39	9	0.12	0.07	0	0
M-4942-G2-K-T2m-2202-D2-1	IGHV1-69	18	2.5	IGKV3-20	9	0.19	0.18	0	0
M-4905-G1-L-T2m-2202-D2-1	IGHV3-30	14	0.9	IGLV3-25	11	0.03	0.02	0	0
M-3572-G1-L-T2m-2202-D2-1	IGHV1-69	18	2.7	IGLV1-40	11	0.11	0.09	0	0
M-1658-G1-L-T2m-2202-D2-1	IGHV1-69	18	2.3000000000000003	IGLV3-1	9	0.03	0.04	0	0
M-1463-G3-K-T2m-2202-D2-1	IGHV1-69	18	5.45	IGKV4-1	9	0.08	0.05	0	0
M-4146-G1-K-T2m-2202-D2-1	IGHV1-69	18	1.9000000000000001	IGKV3-11	11	0.12	0.1	0	0
M-1914-G1-K-T2m-2202-D2-1	IGHV1-69	18	2.4000000000000004	IGKV3-15	10	0.09	0.07	0	0
M-860-G3-K-T2m-2202-D2-1	IGHV1-69	18	3.05	IGKV3-15	10	0.06	0.05	0	0
M-6254-G2-K-T2m-2202-D2-1	IGHV1-69	18	1.8	IGKV1-33	9	0.2	0.15	0	0
M-3774-G1-K-T2m-2202-D2-1	IGHV5-10-1	16	3.5	IGKV2-28	9	0.08	0.07	0	0
M-4768-G1-K-T2m-2202-D2-1	IGHV5-10-1	16	1.6000000000000003	IGKV3-20	10	0.11	0.11	0	0
M-4787-G1-K-T2m-2202-D2-1	IGHV3-30	14	1.6500000000000001	IGKV3-11	10	0.08	0.04	0	0
M-1305-G2-K-T2m-2202-D2-1	IGHV5-10-1	16	1.5500000000000003	IGKV1-39	9	0.08	0.06	0	0
M-1399-G3-K-T2m-2202-D2-1	IGHV3-33	16	2.5500000000000003	IGKV1-39	9	0.05	0.02	0	0
M-1367-G3-K-T2m-2202-D2-1	IGHV3-33	16	3.3000000000000003	IGKV1-9	9	0.02	0.01	0	0
M-5534-G1-L-T2m-2202-D2-1	IGHV3-53	16	3.0500000000000003	IGLV2-14	11	0.07	0.06	0	0
M-764-G1-K-T2m-2202-D2-1	IGHV3-53	16	4.1	IGKV2-28	9	0.12	0.07	0	0
M-6422-G2-K-T2m-2202-D2-1	IGHV3-53	18	1.1	IGKV1-5	10	0.17	0.2	0	0
M-3893-G1-L-T2m-2202-D2-1	IGHV3-53	18	3.25	IGLV3-25	11	0.01	0.0	0	0
M-4314-G2-K-T2m-2202-D2-1	IGHV3-74	16	1.9000000000000001	IGKV1-39	8	0.1	0.06	0	0
M-6234-G3-L-T2m-2202-D2-1	IGHV3-74	16	3.5	IGLV3-25	12	0.07	0.06	0	0
M-3970-G1-K-T2m-2202-D2-1	IGHV3-74	16	3.6000000000000005	IGKV1-39	9	0.08	0.05	0	0
M-2769-G1-L-T2m-2202-D2-1	IGHV3-30	14	1.7500000000000002	IGLV2-14	11	0.08	0.05	0	0
M-3208-G1-K-T2m-2202-D2-1	IGHV4-61	16	2.65	IGKV1-12	9	0.07	0.07	0	0
M-5708-G1-K-T2m-2202-D2-1	IGHV3-49	16	1.8000000000000003	IGKV1-17	9	0.12	0.12	0	0
M-3383-G1-K-T2m-2202-D2-1	IGHV1-18	18	4.25	IGKV4-1	10	0.11	0.09	0	0
M-3635-G3-K-T2m-2202-D2-1	IGHV1-18	18	3.9000000000000004	IGKV1-39	10	0.05	0.02	0	0
M-277-X-L-T2m-2202-D2-1	IGHV1-18	18	2.6500000000000004	IGLV3-21	11	0.17	0.16	0	0
M-1559-G1-L-T2m-2202-D2-1	IGHV1-18	18	2.6500000000000004	IGLV3-21	11	0.16	0.15	0	0
M-796-X-L-T2m-2202-D2-1	IGHV1-18	18	0.4	IGLV1-51	11	0.09	0.09	0	0
M-4142-G2-K-T2m-2202-D2-1	IGHV4-39	16	4.549999999999999	IGKV1-39	9	0.16	0.16	0	0
M-2581-G2-K-T2m-2202-D2-1	IGHV3-30	14	2.0	IGKV3-11	9	0.11	0.07	0	0
M-6125-G2-K-T2m-2202-D2-1	IGHV4-39	16	1.4500000000000002	IGKV1-5	10	0.05	0.04	0	0
M-3702-G1-L-T2m-2202-D2-1	IGHV4-39	16	2.6500000000000004	IGLV3-19	11	0.18	0.16	0	0
M-5883-G2-K-T2m-2202-D2-1	IGHV4-39	16	1.6500000000000001	IGKV2-28	10	0.16	0.16	0	0
M-67-G2-K-T2m-2202-D2-1	IGHV4-59	16	3.5500000000000003	IGKV3-15	10	0.08	0.06	0	0
M-1370-G2-K-T2m-2202-D2-1	IGHV4-59	16	2.95	IGKV3-15	9	0.13	0.11	0	0
M-4369-G1-K-T2m-2202-D2-1	IGHV3-11	16	2.95	IGKV2-30	9	0.12	0.1	0	0
M-2885-G1-K-T2m-2202-D2-1	IGHV3-11	16	1.6500000000000004	IGKV4-1	9	0.19	0.15	0	0
M-4129-G2-L-T2m-2202-D2-1	IGHV3-11	16	3.4000000000000004	IGLV1-44	11	0.07	0.07	0	0
M-4658-G1-K-T2m-2202-D2-1	IGHV3-11	16	1.9500000000000002	IGKV2-30	9	0.06	0.01	0	0
M-1319-G1-K-T2m-2202-D2-1	IGHV3-11	16	3.25	IGKV1-17	9	0.07	0.04	0	0
M-4611-G1-K-T2m-2202-D2-1	IGHV3-66	14	2.85	IGKV3-11	10	0.08	0.06	0	0
M-3567-G1-L-T2m-2202-D2-1	IGHV3-11	16	1.6500000000000001	IGLV3-1	9	0.07	0.05	0	0
M-3726-G3-L-T2m-2202-D2-1	IGHV2-5	16	3.1500000000000004	IGLV2-11	9	0.05	0.02	0	0
M-2622-G3-L-T2m-2202-D2-1	IGHV2-5	16	1.7500000000000004	IGLV2-23	10	0.09	0.09	0	0
M-4067-G1-K-T2m-2202-D2-1	IGHV4-31	16	1.1	IGKV1-39	9	0.14	0.11	0	0
M-2897-G1-L-T2m-2202-D2-1	IGHV3-53	16	2.05	IGLV2-23	11	0.15	0.13	0	0
M-5334-G1-L-T2m-2202-D2-1	IGHV1-2	16	3.4000000000000004	IGLV3-1	9	0.05	0.05	0	0
M-2616-G1-L-T2m-2202-D2-1	IGHV1-2	16	2.2	IGLV1-40	11	0.07	0.06	0	0
M-4093-G3-L-T2m-2202-D2-1	IGHV1-2	16	3.7500000000000004	IGLV1-47	11	0.01	0.01	0	0
M-3945-G1-K-T2m-2202-D2-1	IGHV1-2	16	3.0500000000000003	IGKV1-39	9	0.07	0.06	0	0
M-5779-G1-K-T2m-2202-D2-1	IGHV3-49	16	3.2	IGKV1-12	9	0.04	0.04	0	0
M-1213-G1-K-T2m-2202-D2-1	IGHV3-49	16	1.5	IGKV3-11	8	0.13	0.12	0	0
M-1037-G2-K-T2m-2202-D2-1	IGHV3-64D	16	1.75	IGKV1-5	9	0.16	0.1	0	0
M-5606-G2-K-T2m-2202-D2-1	IGHV3-64D	16	2.6500000000000004	IGKV1-39	9	0.08	0.07	0	0
M-1788-G1-K-T2m-2202-D2-1	IGHV6-1	18	4.35	IGKV3-15	10	0.01	0.01	0	0
M-5175-G1-K-T2m-2202-D2-1	IGHV6-1	18	5.050000000000001	IGKV3-20	6	0.0	0.0	0	0
M-216-G2-L-T2m-2202-D2-1	IGHV6-1	18	3.15	IGLV2-14	10	0.16	0.11	0	0
M-4011-G2-K-T2m-2202-D2-1	IGHV3-23	16	3.0	IGKV3-20	11	0.13	0.09	0	0
M-4169-G1-K-T2m-2202-D2-1	IGHV3-23	16	2.150000000000001	IGKV1-39	9	0.07	0.06	0	0
M-3409-G1-L-T2m-2202-D2-1	IGHV3-23	16	2.9000000000000004	IGLV2-14	11	0.12	0.07	0	0
M-1010-G1-K-T2m-2202-D2-1	IGHV1-69	14	1.6500000000000001	IGKV3-20	9	0.17	0.15	0	0
M-2424-G1-K-T2m-2202-D2-1	IGHV3-15	14	1.9000000000000001	IGKV1-39	9	0.11	0.06	0	0
M-4532-G2-K-T2m-2202-D2-1	IGHV3-23	16	1.6500000000000001	IGKV3-11	9	0.11	0.05	0	0
M-3001-G1-L-T2m-2202-D2-1	IGHV3-23	16	2.2500000000000004	IGLV1-40	11	0.02	0.01	0	0
M-2705-G1-K-T2m-2202-D2-1	IGHV3-23	16	3.3000000000000003	IGKV3-11	11	0.07	0.02	0	0
M-1902-G2-L-T2m-2202-D2-1	IGHV3-23	16	2.1	IGLV2-11	10	0.11	0.09	0	0
M-449-G2-K-T2m-2202-D2-1	IGHV3-23	16	1.7500000000000002	IGKV1-9	9	0.12	0.1	0	0
M-5069-G2-K-T2m-2202-D2-1	IGHV3-23	16	1.7500000000000002	IGKV1-9	9	0.12	0.1	0	0
M-4964-G3-L-T2m-2202-D2-1	IGHV3-23	16	3.0500000000000003	IGLV3-21	12	0.05	0.05	0	0
M-5765-G1-L-T2m-2202-D2-1	IGHV3-23	16	3.1500000000000004	IGLV8-61	10	0.12	0.1	0	0
M-2861-X-K-T2m-2202-D2-1	IGHV3-23	16	2.75	IGKV4-1	9	0.08	0.05	0	0
M-2153-G1-K-T2m-2202-D2-1	IGHV3-23	16	2.6000000000000005	IGKV1-5	9	0.05	0.05	0	0
M-638-G1-L-T2m-2202-D2-1	IGHV3-72	16	1.45	IGLV1-47	10	0.09	0.06	0	0
M-422-G1-L-T2m-2202-D2-1	IGHV1-69	14	1.1	IGLV2-23	11	0.09	0.05	0	0
M-4522-G1-K-T2m-2202-D2-1	IGHV3-43D	16	1.2500000000000002	IGKV3-15	10	0.08	0.09	0	0
M-888-G3-L-T2m-2202-D2-1	IGHV3-43D	16	4.449999999999999	IGLV8-61	10	0.04	0.02	0	0
M-4813-G1-K-T2m-2202-D2-1	IGHV4-31	16	2.5500000000000003	IGKV4-1	9	0.15	0.13	0	0
M-3040-G3-K-T2m-2202-D2-1	IGHV4-4	18	3.4	IGKV1-16	9	0.02	0.01	0	0
M-5171-G1-L-T2m-2202-D2-1	IGHV4-4	18	4.55	IGLV1-40	12	0.18	0.16	0	0
M-2835-G1-L-T2m-2202-D2-1	IGHV4-4	18	4.050000000000001	IGLV3-10	11	0.1	0.05	0	0
M-5925-G1-K-T2m-2202-D2-1	IGHV4-4	18	4.2	IGKV1-5	8	0.09	0.04	0	0
M-5141-G1-K-T2m-2202-D2-1	IGHV4-4	18	3.8	IGKV1-5	8	0.07	0.07	0	0
M-5209-G1-K-T2m-2202-D2-1	IGHV4-4	18	2.05	IGKV3-15	8	0.11	0.07	0	0
M-3693-G1-L-T2m-2202-D2-1	IGHV1-69	16	2.1	IGLV2-14	10	0.13	0.1	0	0
M-1735-G2-K-T2m-2202-D2-1	IGHV1-69	16	1.6500000000000001	IGKV3-20	9	0.04	0.02	0	0
M-64-G2-L-T2m-2202-D2-1	IGHV1-69	16	0.9999999999999999	IGLV1-44	12	0.11	0.07	0	0
M-3548-G1-K-T2m-2202-D2-1	IGHV1-69	16	2.85	IGKV3-20	9	0.07	0.07	0	0
M-5746-G1-L-T2m-2202-D2-1	IGHV1-69	16	3.35	IGLV7-43	10	0.15	0.11	0	0
M-194-G1-K-T2m-2202-D2-1	IGHV1-69	16	3.0	IGKV3-11	9	0.02	0.01	0	0
M-963-G1-L-T2m-2202-D2-1	IGHV1-69	16	1.1500000000000001	IGLV2-14	10	0.06	0.04	0	0
M-4821-G3-K-T2m-2202-D2-1	IGHV1-69	16	2.75	IGKV3-20	9	0.04	0.04	0	0
M-5574-G2-K-T2m-2202-D2-1	IGHV1-69	16	3.85	IGKV2-28	9	0.19	0.17	0	0
M-3540-G1-K-T2m-2202-D2-1	IGHV1-69	14	1.2000000000000002	IGKV1-17	10	0.1	0.05	0	0
M-5373-G1-L-T2m-2202-D2-1	IGHV1-69	16	3.5	IGLV2-23	12	0.07	0.06	0	0
M-2675-G3-K-T2m-2202-D2-1	IGHV1-46	16	4.05	IGKV1-39	9	0.05	0.04	0	0
M-5510-G1-K-T2m-2202-D2-1	IGHV1-46	16	0.9999999999999999	IGKV2-28	9	0.03	0.02	0	0
M-870-G3-K-T2m-2202-D2-1	IGHV1-46	16	1.8000000000000003	IGKV1-39	9	0.09	0.1	0	0
M-5909-G3-K-T2m-2202-D2-1	IGHV1-46	16	0.8999999999999999	IGKV1-39	9	0.07	0.05	0	0
M-3576-G1-L-T2m-2202-D2-1	IGHV4-30-4	16	2.5000000000000004	IGLV2-14	11	0.08	0.07	0	0
